#PASSAGE	REFQ	GENQ	FLUENCY	RELEVANT	ANSWERABLE	SIMILAR
germanic tribes crossed the rhine in the migration period , by the  5th century   establishing the kingdoms of francia on the lower rhine , burgundy on the upper rhine and alemannia on the high rhine . this " germanic heroic age " is reflected in medieval legend , such as the nibelungenlied which tells of the hero siegfried killing a dragon on the drachenfels ( siebengebirge ) ( " dragons rock " ) , near bonn at the rhine and of the burgundians and their court at worms , at the rhine and kriemhild 's golden treasure , which was thrown into the rhine by hagen .	when did germanic tribes cross the rhine to migrate ?	when did germanic tribes establish the kingdoms of francia , burgundy and alemannia ?	1.0	1.0	1.0	0.0
abc maintains several video on demand services for delayed viewing of the network 's programming , including a traditional vod service called abc on demand , which is carried on most traditional cable and iptv providers . the walt disney company is also a part-owner of  hulu   ( as part of a consortium that includes , among other parties , the respective parent companies of nbc and fox , nbcuniversal and 21st century fox ) , and has offered full-length episodes of most of abc 's programming through the streaming service since july 6 , 2009 ( which are available for viewing on  hulu   's website and mobile app ) , as part of an agreement reached in april that year that also allowed disney to acquire a 27 % ownership stake in  hulu   .	the walt disney company is a part owner of what vod streaming service ?	what streaming service is owned by the walt disney company ?	1.0	1.0	1.0	0.3333333333333333
the republic of kenya is named after mount kenya . the origin of the name kenya is not clear , but perhaps linked to the kikuyu , embu and kamba words kirinyaga , kirenyaa and kiinyaa which mean "  god 's resting place   " in all three languages . if so , then the british may not so much have mispronounced it ( 'keenya ' ) , as misspelled it . prehistoric volcanic eruptions of mount kenya ( now extinct ) may have resulted in its association with divinity and creation among the indigenous bantu ethnic groups , who are the native inhabitants of the agricultural land surrounding mount kenya . [ original research ? ]	what do the words kirinyaga , kirenyaa , and kiinyaa mean ?	what does the word kirinyaga mean in kikuyu , embu and kamba ?	1.0	1.0	0.6666666666666666	0.3333333333333333
the chloroplastidan chloroplasts , or green chloroplasts , are another large , highly diverse primary chloroplast lineage . their host organisms are commonly known as the green algae and land plants . they differ from glaucophyte and red algal chloroplasts in that they have lost their phycobilisomes , and contain chlorophyll b instead . most green chloroplasts are ( obviously ) green , though some are n't , like some forms of hæmatococcus pluvialis , due to accessory pigments that override the chlorophylls ' green colors . chloroplastidan chloroplasts have lost  the peptidoglycan wall   between their double membrane , and have replaced it with an intermembrane space . some plants seem to have kept the genes for the synthesis of the peptidoglycan layer , though they 've been repurposed for use in chloroplast division instead .	what do n't chloroplastidan chloroplasts have ?	what have green chloroplasts lost between their double membrane ?	1.0	1.0	1.0	0.3333333333333333
near tamins-reichenau the anterior rhine and the posterior rhine join and form the rhine . the river makes a distinctive turn to the north near chur . this section is nearly 86 km long , and descends from a height of 599 m to 396 m. it flows through a wide glacial alpine valley known as the rhine valley ( german : rheintal ) . near  sargans   a natural dam , only a few metres high , prevents it from flowing into the open seeztal valley and then through lake walen and lake zurich into the river aare . the alpine rhine begins in the most western part of the swiss canton of graubünden , and later forms the border between switzerland to the west and liechtenstein and later austria to the east .	what is the natural dam that the rhine flows through ?	where is a natural dam located that prevents the rhine from flowing into the seeztal valley ?	1.0	1.0	1.0	0.16666666666666666
these attacks resonated with conservative muslims and the problem did not go away with saddam 's defeat either , since american troops remained stationed in the kingdom , and a de facto cooperation with the palestinian-israeli peace process developed . saudi arabia attempted to compensate for its loss of prestige among these groups by repressing those domestic islamists who attacked it ( bin laden being a prime example ) , and increasing aid to islamic groups ( islamist madrassas around the world and even aiding some violent islamist groups ) that did not , but its pre-war influence on behalf of moderation was greatly reduced . one result of this was a campaign of attacks on government officials and tourists in egypt , a bloody civil war in algeria and  osama bin laden   's terror attacks climaxing in the 9/11 attack .	who masterminded many terror attacks ?	who was responsible for the 9 / 11 attacks ?	1.0	1.0	1.0	0.6666666666666666
in 1934 , mutual filed a complaint with the federal communications commission ( fcc ) regarding its difficulties in establishing new stations , in a radio market that was already being saturated by nbc and cbs . in 1938 , the fcc began a series of investigations into the practices of radio networks and published its report on the broadcasting of network radio programs in  1940.   the report recommended that rca give up control of either nbc red or nbc blue . at that time , the nbc red network was the principal radio network in the united states and , according to the fcc , rca was using nbc blue to eliminate any hint of competition . having no power over the networks themselves , the fcc established a regulation forbidding licenses to be issued for radio stations if they were affiliated with a network which already owned multiple networks that provided content of public interest .	in what year did the fcc publish it 's report ?	when was the fcc ' s report on the broadcasting of network radio programs published ?	1.0	1.0	1.0	0.5
daniel burke departed from capital cities/abc in february 1994 , with thomas murphy taking over as president before ceding control to robert iger . september 1994 saw the debut of nypd blue , a gritty police procedural from steven bochco ( who created doogie howser , m.d . and the critically pilloried cop rock for abc earlier in the decade ) ; lasting  ten seasons   , the drama became known for its boundary pushing of network television standards ( particularly its occasional use of graphic language and rear nudity ) , which led some affiliates to initially refuse to air the show in its first season .	how many seasons did nypd blue last ?	how long did nypd blue last ?	1.0	1.0	1.0	0.8333333333333334
subject committees are established at the beginning of each parliamentary  session   , and again the members on each committee reflect the balance of parties across parliament . typically each committee corresponds with one ( or more ) of the departments ( or ministries ) of the scottish government . the current subject committees in the fourth  session   are : economy , energy and tourism ; education and culture ; health and sport ; justice ; local government and regeneration ; rural affairs , climate change and environment ; welfare reform ; and infrastructure and capital investment .	what is the scottish parliament currently in the fourth of ?	subject committees are established at the beginning of what parliamentary session ?	0.8333333333333334	1.0	1.0	0.0
one of the most dramatic parts of the museum is the cast courts in the sculpture wing , comprising two large , skylighted rooms two storeys high housing hundreds of plaster casts of sculptures , friezes and tombs . one of these is dominated by a full-scale replica of trajan 's column , cut in half in order to fit under the ceiling . the other includes reproductions of various works of italian renaissance sculpture and architecture , including a full-size replica of michelangelo 's david . replicas of two earlier davids by donatello 's david and verrocchio 's david , are also included , although for conservation reasons the verrocchio replica is displayed  in a glass case   .	how is the plaster replica of verrocchio 's david displayed in the cast courts ?	where is verrocchio ' s david displayed ?	1.0	1.0	0.6666666666666666	0.16666666666666666
